city,post_count,comment_count,post_likes_received,comment_likes_received,total_interactions
London,16.0,24.0,35.0,21.0,96.0
Wellington,9.0,26.0,14.0,34.0,83.0
Bristol,9.0,24.0,11.0,22.0,66.0
Auckland,10.0,16.0,18.0,16.0,60.0
Manchester,6.0,13.0,9.0,18.0,46.0
Gold Coast,8.0,11.0,17.0,9.0,45.0
Brisbane,6.0,13.0,13.0,10.0,42.0
Melbourne,8.0,12.0,11.0,11.0,42.0
Christchurch,5.0,8.0,13.0,10.0,36.0
Adelaide,4.0,11.0,4.0,10.0,29.0
Newcastle,1.0,12.0,3.0,11.0,27.0
Singapore,0.0,6.0,0.0,8.0,14.0
Sydney,1.0,7.0,2.0,4.0,14.0
Canberra,1.0,3.0,3.0,6.0,13.0
Perth,0.0,3.0,0.0,2.0,5.0
Hobart,0.0,2.0,0.0,2.0,4.0
