industry,post_count,comment_count,post_likes_received,comment_likes_received,total_interactions
Healthcare,20.0,46.0,32.0,43.0,141.0
Technology,11.0,14.0,27.0,18.0,70.0
Advertising,8.0,15.0,13.0,18.0,54.0
Marketing,2.0,22.0,5.0,23.0,52.0
Legal,12.0,8.0,23.0,7.0,50.0
Hospitality,2.0,17.0,6.0,17.0,42.0
Government,6.0,11.0,17.0,7.0,41.0
Student,7.0,9.0,9.0,14.0,39.0
Consulting,3.0,9.0,5.0,12.0,29.0
Nonprofit,2.0,11.0,3.0,8.0,24.0
Education,4.0,8.0,5.0,4.0,21.0
Fashion,2.0,6.0,3.0,6.0,17.0
Media,3.0,5.0,1.0,7.0,16.0
Finance,2.0,2.0,4.0,3.0,11.0
Publishing,0.0,6.0,0.0,4.0,10.0
Retail,0.0,2.0,0.0,3.0,5.0
