topic_phrase,score
than the,20.410225311264092
what is,8.044237404733366
would your,4.022118702366683
trying to separate what,4.022118702366683
trying to separate,4.022118702366683
trying to,4.022118702366683
separate what is from what is loud,4.022118702366683
separate what is from what is,4.022118702366683
separate what is from what,4.022118702366683
separate what is from,4.022118702366683
separate what is,4.022118702366683
separate what,4.022118702366683
curious whether changed their mind over the last,3.5862844258896964
whether changed their mind over the last few,3.5862844258896964
whether changed their mind over the,3.5862844258896964
changed their mind,3.5862844258896964
changed their,3.5862844258896964
changed their mind over,3.5862844258896964
curious whether changed their mind over,3.5862844258896964
curious whether changed their mind,3.5862844258896964
curious whether changed their,3.5862844258896964
curious whether changed,3.5862844258896964
curious whether,3.5862844258896964
changed their mind over the last few weeks,3.5862844258896964
curious whether changed their mind over the,3.5862844258896964
changed their mind over the last few,3.5862844258896964
changed their mind over the last,3.5862844258896964
changed their mind over the,3.5862844258896964
send your,3.309252871240071
whole thing click please,3.309252871240071
whole thing,3.309252871240071
whole thing click,3.309252871240071
the whole thing click please send your,3.309252871240071
whole thing click please send,3.309252871240071
whole thing click please send your,3.309252871240071
click please,3.309252871240071
the whole thing,3.309252871240071
the whole thing click please send,3.309252871240071
the whole thing click please,3.309252871240071
the whole thing click,3.309252871240071
the whole,3.309252871240071
the that makes the whole thing click please,3.309252871240071
the that makes the whole thing click,3.309252871240071
the that makes the whole thing,3.309252871240071
the that makes the whole,3.309252871240071
the that makes the,3.309252871240071
the that makes,3.309252871240071
click please send,3.309252871240071
click please send your,3.309252871240071
the that,3.309252871240071
