post_id,post_username,post_created_at,heading,post_like_count,comment_count,dominant_topic,conversation_score
e1d99ba5-08bb-4cb6-86b0-9b5aaae3ee28,beth,2026-03-09 11:42:00+00:00,Need the group's view on comfort rewatches.,5,5,group,10
c09b7467-d5f1-456c-8f6e-5d015f0248b7,poppy_club,2026-02-15 09:00:00+00:00,Need the group's view on book-to-screen adaptations.,5,5,read,10
a5805a92-36f4-4cc4-b616-30b62410a9f6,josie75,2026-03-05 10:55:00+00:00,Open thread for award season narratives.,5,4,open,9
96893c7b-7acc-4d2e-820f-a2977f4e8af8,nell35,2026-02-08 21:33:00+00:00,Can someone explain why reality TV villains keeps coming back?,4,5,dumb,9
60165a64-6147-4751-a15a-89cc89847ccf,elsie,2026-02-03 07:08:00+00:00,Is anyone else fully locked into comfort rewatches discourse?,4,5,discourse,9
59a7b8cf-33d1-4d84-855f-e02b9045476f,mae,2026-03-25 10:51:00+00:00,Need the group's view on movie press tours.,4,4,group,8
f5f35d98-c72f-43fe-aac3-c33bde9ce310,mads,2026-01-14 09:08:00+00:00,I keep circling back to celebrity side hustles.,4,4,argument,8
d9bb1bd3-1106-4db0-9c63-2968dd55af46,hallezz,2026-02-17 18:42:00+00:00,Can someone explain why microtrend fatigue keeps coming back?,3,5,best substack,8
45917656-6d24-4051-b55f-c6590833f526,beth,2026-03-31 19:51:00+00:00,Can someone explain why reality TV villains keeps coming back?,5,3,dumb,8
c9f7127c-9264-451c-b158-7b0ccf7aff0b,mads,2026-02-15 18:51:00+00:00,I keep circling back to reality TV villains.,3,4,dumb,7
4ce780f8-fac3-49d1-b04a-6157c0daaac6,poppy_club,2026-02-02 09:55:00+00:00,Can someone explain why microtrend fatigue keeps coming back?,4,3,best substack,7
1b3e2721-f5d7-434b-a363-69c6a7f2a42c,isla_x,2026-03-18 08:12:00+00:00,I keep circling back to sad girl pop.,1,6,angle,7
0e3815a8-14f2-4da9-bac0-254a9b9149de,lila,2026-03-03 20:27:00+00:00,I keep circling back to tabloid ethics.,2,5,circling,7
e1edcf7b-0b8b-40b8-b643-d60f9af9051e,lila,2026-03-27 09:27:00+00:00,Open thread for PR relationships.,4,3,open,7
86e188be-c8ac-4809-8637-6528b92f210b,layla_x,2026-03-17 20:39:00+00:00,Who has the best take on microtrend fatigue?,2,5,best,7
3d05704a-6b84-4700-8ef9-47380917f6dc,mads,2026-01-26 09:47:00+00:00,Need the group's view on celebrity side hustles.,4,2,group,6
8ce90194-ff89-4ea0-b413-cd72390146e0,lila,2026-02-05 20:15:00+00:00,Who has the best take on reality TV villains?,2,4,dumb,6
7246c0c9-fe80-47d5-aa99-0109012b7c88,fern,2026-01-31 13:51:00+00:00,Need the group's view on PR relationships.,3,3,angle,6
d1215e6b-445f-4dc5-8cf9-f99d67129010,paige69,2026-01-16 11:15:00+00:00,Can someone explain why celebrity memoirs keeps coming back?,3,3,coming,6
