dominant_topic,post_count,avg_post_likes,avg_comments,total_post_likes,total_comments,engagement_score
changed,1,3.0,3.0,3,3,6.0
read,2,2.5,2.5,5,5,5.0
dumb,9,2.4444444444444446,2.5555555555555554,22,23,5.0
like,1,3.0,2.0,3,2,5.0
circling,3,1.0,3.6666666666666665,3,11,4.666666666666666
discourse,8,2.0,2.625,16,21,4.625
group,7,2.2857142857142856,2.2857142857142856,16,16,4.571428571428571
smartest,2,3.5,1.0,7,2,4.5
angle,6,1.8333333333333333,2.3333333333333335,11,14,4.166666666666667
best substack,6,1.6666666666666667,2.5,10,15,4.166666666666667
open,11,1.8181818181818181,2.272727272727273,20,25,4.090909090909091
click,1,1.0,3.0,1,3,4.0
episode,1,1.0,3.0,1,3,4.0
coming,7,2.0,1.7142857142857142,14,12,3.7142857142857144
argument,7,1.5714285714285714,2.0,11,14,3.571428571428571
actually,2,1.0,2.5,2,5,3.5
best,3,0.6666666666666666,2.6666666666666665,2,8,3.333333333333333
actually interesting,2,1.0,2.0,2,4,3.0
episode keen,1,0.0,2.0,0,2,2.0
tv,1,0.0,2.0,0,2,2.0
bonus,3,1.3333333333333333,0.3333333333333333,4,1,1.6666666666666665
