date,posts,comments,post_likes,comment_likes,total_interactions,total_members,engagement_rate_pct
2026-01-09,1.0,1.0,2.0,3.0,7.0,200,3.5000000000000004
2026-01-14,1.0,1.0,4.0,1.0,7.0,200,3.5000000000000004
2026-01-15,0.0,0.0,0.0,3.0,3.0,200,1.5
2026-01-16,1.0,1.0,3.0,3.0,8.0,200,4.0
2026-01-17,1.0,5.0,3.0,2.0,11.0,200,5.5
2026-01-25,2.0,3.0,3.0,3.0,11.0,200,5.5
2026-01-26,1.0,4.0,4.0,2.0,11.0,200,5.5
2026-01-27,1.0,0.0,2.0,0.0,3.0,200,1.5
2026-01-28,2.0,2.0,1.0,1.0,6.0,200,3.0
2026-01-29,0.0,0.0,0.0,4.0,4.0,200,2.0
2026-01-30,0.0,0.0,0.0,2.0,2.0,200,1.0
2026-01-31,3.0,1.0,6.0,1.0,11.0,200,5.5
2026-02-01,1.0,5.0,2.0,3.0,11.0,200,5.5
2026-02-02,1.0,2.0,4.0,4.0,11.0,200,5.5
2026-02-03,1.0,3.0,4.0,1.0,9.0,200,4.5
2026-02-04,2.0,3.0,2.0,3.0,10.0,200,5.0
2026-02-05,1.0,1.0,2.0,0.0,4.0,200,2.0
2026-02-06,0.0,0.0,0.0,2.0,2.0,200,1.0
2026-02-07,0.0,0.0,0.0,0.0,0.0,200,0.0
2026-02-08,1.0,1.0,4.0,3.0,9.0,200,4.5
2026-02-09,1.0,2.0,1.0,3.0,7.0,200,3.5000000000000004
2026-02-10,1.0,3.0,2.0,0.0,6.0,200,3.0
2026-02-12,2.0,3.0,5.0,1.0,11.0,200,5.5
2026-02-13,0.0,0.0,0.0,3.0,3.0,200,1.5
2026-02-15,2.0,1.0,8.0,1.0,12.0,200,6.0
2026-02-16,1.0,4.0,0.0,4.0,9.0,200,4.5
2026-02-17,2.0,4.0,6.0,6.0,18.0,200,9.0
2026-02-18,3.0,9.0,7.0,8.0,27.0,200,13.5
2026-02-19,0.0,0.0,0.0,6.0,6.0,200,3.0
2026-02-21,1.0,1.0,0.0,0.0,2.0,200,1.0
2026-02-24,1.0,2.0,2.0,1.0,6.0,200,3.0
2026-02-25,1.0,3.0,2.0,3.0,9.0,200,4.5
2026-02-28,2.0,2.0,1.0,2.0,7.0,200,3.5000000000000004
2026-03-02,1.0,0.0,2.0,0.0,3.0,200,1.5
2026-03-03,3.0,0.0,7.0,0.0,10.0,200,5.0
2026-03-04,0.0,0.0,0.0,6.0,6.0,200,3.0
2026-03-05,2.0,3.0,6.0,5.0,16.0,200,8.0
2026-03-06,0.0,0.0,0.0,4.0,4.0,200,2.0
2026-03-07,1.0,2.0,0.0,1.0,4.0,200,2.0
2026-03-09,4.0,5.0,10.0,5.0,24.0,200,12.0
2026-03-10,1.0,5.0,1.0,8.0,15.0,200,7.5
2026-03-11,1.0,2.0,0.0,2.0,5.0,200,2.5
2026-03-12,1.0,1.0,0.0,2.0,4.0,200,2.0
2026-03-13,2.0,2.0,2.0,6.0,12.0,200,6.0
2026-03-14,1.0,1.0,2.0,1.0,5.0,200,2.5
2026-03-15,0.0,0.0,0.0,0.0,0.0,200,0.0
2026-03-17,1.0,0.0,2.0,0.0,3.0,200,1.5
2026-03-18,3.0,6.0,6.0,6.0,21.0,200,10.5
2026-03-19,1.0,9.0,1.0,7.0,18.0,200,9.0
2026-03-20,0.0,0.0,0.0,1.0,1.0,200,0.5
2026-03-24,1.0,0.0,0.0,0.0,1.0,200,0.5
2026-03-25,2.0,5.0,4.0,7.0,18.0,200,9.0
2026-03-26,2.0,5.0,1.0,4.0,12.0,200,6.0
2026-03-27,2.0,6.0,5.0,6.0,19.0,200,9.5
2026-03-28,1.0,4.0,1.0,1.0,7.0,200,3.5000000000000004
2026-03-29,1.0,0.0,2.0,0.0,3.0,200,1.5
2026-03-30,1.0,3.0,0.0,4.0,8.0,200,4.0
2026-03-31,3.0,2.0,10.0,2.0,17.0,200,8.5
2026-04-01,3.0,7.0,3.0,11.0,24.0,200,12.0
2026-04-02,1.0,5.0,2.0,6.0,14.0,200,7.000000000000001
2026-04-03,1.0,2.0,1.0,4.0,8.0,200,4.0
2026-04-04,4.0,7.0,1.0,8.0,20.0,200,10.0
2026-04-05,1.0,4.0,3.0,5.0,13.0,200,6.5
2026-04-06,2.0,2.0,1.0,3.0,8.0,200,4.0
,0.0,3.0,0.0,0.0,3.0,200,1.5
,0.0,3.0,0.0,0.0,3.0,200,1.5
,0.0,2.0,0.0,0.0,2.0,200,1.0
,0.0,3.0,0.0,0.0,3.0,200,1.5
,0.0,1.0,0.0,0.0,1.0,200,0.5
,0.0,2.0,0.0,0.0,2.0,200,1.0
,0.0,7.0,0.0,0.0,7.0,200,3.5000000000000004
,0.0,4.0,0.0,0.0,4.0,200,2.0
,0.0,5.0,0.0,0.0,5.0,200,2.5
,0.0,2.0,0.0,0.0,2.0,200,1.0
,0.0,4.0,0.0,0.0,4.0,200,2.0
