week_start,active_user_names
2026-01-05,"brookea, lila"
2026-01-12,"amber, mads, paige69, poppy_club, soph"
2026-01-19,"billiexo, layla, mads, sasha_zz, soph"
2026-01-26,"alixs, amber, ana, elsie, fern, heidi33, layla, lila, mabel, mads, nell35, paige69, remis, soph"
2026-02-02,"ana, dani54, elsie, kate92, layla, lila, mads, nell35, paige69, pearl93, poppy_club, sienna, soph"
2026-02-09,"ana, brookea, cleo, dani54, delia_daily, hallezz, layla, mads, poppy_club, remis, rubyx, soph"
2026-02-16,"beth, brookea, casshq, cleo, dani54, delia_daily, elsie_club, gemmanotes, hallezz, isla_x, kate92, layla, lila, lottiea, mads, mae, nell_xo, nia, poppy_club, remi22, remis, soph, tara, willa55"
2026-02-23,"cleo, elsie, fern, freya, hallezz, islax, mae, nell_xo, tara, tess"
2026-03-02,"cleo, delia_daily, elsie, esme95, fern, freya, gemmanotes, isla_x, islax, josie75, kate92, larab, layla, layla_x, lila, remis, siennanotes, soph, thea_hq, willa55"
2026-03-09,"annieb, bellaclub, beth, brookea, cleo, elsie_club, fern, gemmanotes, hazel15, isla_x, jas27, kate92, lila, mabel, mads, nia, nora24, remis, rubyx, sabrina_notes, sasha_notes, soph, thea_hq, willa55"
2026-03-16,"alixs, annieb, beth, cleo, coco_daily, delia_daily, fern, freya, isla_x, islax, job, josie75, layla, layla_x, nell_xo, nia, nora24, pearl16, poppy_club, soph, tara"
2026-03-23,"alixclub, amber, casshq, cleo, elsie, fern, frankie_x, hazel_s, heidi_notes, josie, josie75, layla, layla_x, lila, lucy, mads, mae, nell35, nora24, paige69, pearl16, soph, tara, yasmin"
2026-03-30,"alixclub, ana, arielzz, beth, cleo, esme95, harper_s, heidi33, islaclub, islax, jas27, layla, lexidaily, lila, mads, nell35, nia, rubyx, sasha_zz, soph, tara, willa55"
2026-04-06,"bellaclub, cleo, nia, soph"
