value_segment,city,industry,gender,user_count
low,London,Healthcare,female,3
low,Adelaide,Advertising,non_binary,1
low,Adelaide,Finance,female,1
low,Adelaide,Legal,non_binary,1
low,Adelaide,Marketing,prefer_not_to_say,1
low,Adelaide,Media,male,1
low,Adelaide,Publishing,female,1
low,Adelaide,Student,male,1
low,Auckland,Advertising,non_binary,1
low,Auckland,Finance,female,1
low,Auckland,Finance,male,1
low,Auckland,Hospitality,non_binary,1
low,Auckland,Marketing,female,1
low,Auckland,Technology,prefer_not_to_say,1
low,Brisbane,Government,male,1
low,Brisbane,Healthcare,female,1
low,Brisbane,Publishing,male,1
low,Brisbane,Technology,female,1
low,Bristol,Education,female,1
low,Bristol,Technology,male,1
low,Canberra,Media,female,1
low,Christchurch,Healthcare,non_binary,1
low,Christchurch,Hospitality,male,1
low,Christchurch,Marketing,female,1
low,Christchurch,Media,female,1
low,Christchurch,Nonprofit,female,1
low,Christchurch,Technology,male,1
low,Gold Coast,Media,female,1
low,Hobart,Fashion,female,1
low,Hobart,Government,female,1
low,London,Consulting,female,1
low,London,Retail,female,1
low,London,Student,non_binary,1
low,Manchester,Education,prefer_not_to_say,1
low,Manchester,Finance,non_binary,1
low,Manchester,Legal,female,1
low,Manchester,Technology,prefer_not_to_say,1
low,Melbourne,Fashion,prefer_not_to_say,1
low,Melbourne,Finance,female,1
low,Melbourne,Publishing,prefer_not_to_say,1
low,Melbourne,Retail,male,1
low,Newcastle,Education,female,1
low,Newcastle,Finance,female,1
low,Newcastle,Healthcare,female,1
low,Newcastle,Student,female,1
low,Perth,Education,female,1
low,Perth,Education,prefer_not_to_say,1
low,Perth,Marketing,male,1
low,Perth,Nonprofit,non_binary,1
low,Perth,Technology,male,1
low,Singapore,Consulting,female,1
low,Singapore,Education,female,1
low,Singapore,Fashion,prefer_not_to_say,1
low,Singapore,Nonprofit,female,1
low,Singapore,Publishing,female,1
low,Singapore,Technology,female,1
low,Sydney,Advertising,prefer_not_to_say,1
low,Sydney,Government,female,1
low,Sydney,Media,non_binary,1
low,Sydney,Retail,female,1
low,Wellington,Consulting,female,1
low,Wellington,Consulting,prefer_not_to_say,1
low,Wellington,Education,male,1
low,Wellington,Media,female,1
low,Wellington,Retail,female,1
low,Adelaide,Advertising,female,0
low,Adelaide,Advertising,male,0
low,Adelaide,Advertising,prefer_not_to_say,0
low,Adelaide,Consulting,female,0
low,Adelaide,Consulting,male,0
low,Adelaide,Consulting,non_binary,0
low,Adelaide,Consulting,prefer_not_to_say,0
low,Adelaide,Education,female,0
low,Adelaide,Education,male,0
low,Adelaide,Education,non_binary,0
low,Adelaide,Education,prefer_not_to_say,0
low,Adelaide,Fashion,female,0
low,Adelaide,Fashion,male,0
low,Adelaide,Fashion,non_binary,0
low,Adelaide,Fashion,prefer_not_to_say,0
low,Adelaide,Finance,male,0
low,Adelaide,Finance,non_binary,0
low,Adelaide,Finance,prefer_not_to_say,0
low,Adelaide,Government,female,0
low,Adelaide,Government,male,0
low,Adelaide,Government,non_binary,0
low,Adelaide,Government,prefer_not_to_say,0
low,Adelaide,Healthcare,female,0
low,Adelaide,Healthcare,male,0
low,Adelaide,Healthcare,non_binary,0
low,Adelaide,Healthcare,prefer_not_to_say,0
