user_id,username,city,industry,gender,post_count,comment_count,post_likes_received,comment_likes_received,engagement_score,value_segment
3c46fc4c-22a4-4dca-9078-1eb0d5d529cc,mads,London,Legal,male,12.0,8.0,23.0,7.0,82.0,high
92a2012e-738d-4a74-becf-07dd07ab44f7,lila,Wellington,Advertising,female,8.0,11.0,13.0,14.0,73.0,high
1fd42c2d-fadb-4794-8d33-f4eefae244ac,cleo,Auckland,Healthcare,non_binary,7.0,8.0,8.0,9.0,54.0,high
8c3853ef-e9fd-489e-a00e-c4e6de6388c3,soph,Bristol,Healthcare,female,5.0,11.0,4.0,9.0,50.0,high
f97fc0e9-dace-4428-8859-ad8ebd2532fd,tara,Newcastle,Hospitality,female,1.0,12.0,3.0,11.0,41.0,high
c46eb7b5-1cd6-4b09-97c3-0cb70933c953,fern,Manchester,Consulting,female,3.0,7.0,5.0,9.0,37.0,high
7b71142d-776d-422c-9dd8-e8a1db4563e1,layla,Wellington,Marketing,female,0.0,11.0,0.0,14.0,36.0,high
0bf84a80-6729-4c12-80af-652ef37f5f0b,beth,Christchurch,Technology,female,3.0,2.0,12.0,6.0,31.0,high
51efd9cc-9dd5-4483-b6de-ee8e728b82e9,paige69,Brisbane,Healthcare,female,2.0,6.0,6.0,5.0,29.0,high
b3cbce25-bcfc-4039-8e81-460817f8514c,poppy_club,London,Government,female,2.0,5.0,9.0,2.0,27.0,high
971b74b9-34b6-4d68-b86b-6374e2cf764f,remis,Bristol,Nonprofit,male,2.0,5.0,3.0,5.0,24.0,high
ec455a41-4c72-4c7d-9ace-89f42929f39e,brookea,London,Student,female,2.0,3.0,3.0,8.0,23.0,high
5ba27d3d-ac03-42e9-931a-893a0bc836f6,nia,Bristol,Fashion,female,1.0,6.0,1.0,6.0,22.0,high
17bb260a-3064-4c39-937e-f3e36ac5549e,josie75,Gold Coast,Healthcare,female,3.0,1.0,8.0,2.0,21.0,high
bd7c68e4-dbd3-42dd-a87e-932ce8096d75,nell35,Gold Coast,Technology,prefer_not_to_say,2.0,3.0,6.0,2.0,20.0,high
66c36fbf-b638-48b9-82db-f015331857ba,isla_x,Manchester,Student,female,2.0,3.0,3.0,4.0,19.0,high
b09208d7-39f5-4e12-b9b2-f069b81a344f,elsie,Melbourne,Marketing,male,1.0,4.0,4.0,4.0,19.0,high
26ea0c6b-e2be-4c73-8b4a-ea05405e5aaf,willa55,Gold Coast,Student,prefer_not_to_say,3.0,2.0,3.0,2.0,18.0,high
2b45a69d-9c7d-49d0-b5e6-f94c40a15556,kate92,Adelaide,Technology,male,2.0,3.0,3.0,3.0,18.0,high
36440350-a43e-4388-b514-a9a691954bc9,mae,Auckland,Healthcare,non_binary,2.0,2.0,5.0,3.0,18.0,high
e6716ed7-f5f8-4f76-8b16-786cb55b5c1a,rubyx,Auckland,Government,female,1.0,3.0,5.0,3.0,17.0,high
af539199-de83-4688-9b2a-e07b09231d2a,delia_daily,Melbourne,Finance,non_binary,2.0,2.0,4.0,3.0,17.0,high
d48cb34a-67cb-4a35-ab29-05b3fd2d2699,ana,London,Nonprofit,male,0.0,6.0,0.0,3.0,15.0,high
d166e831-26a9-40e0-a695-15fc5c03cd78,layla_x,Melbourne,Government,non_binary,3.0,1.0,3.0,1.0,15.0,high
b9c72815-43ef-4b19-bccc-3fef787c4ac1,alixs,Brisbane,Hospitality,female,1.0,2.0,3.0,3.0,13.0,high
f5984d39-e284-42e8-8ba7-5bb425a0a5bc,hallezz,Bristol,Technology,male,1.0,2.0,3.0,2.0,12.0,high
fcf6ae40-6003-422e-83a3-52c02a8d1cd6,nora24,Christchurch,Media,non_binary,2.0,1.0,1.0,2.0,11.0,high
19f2ec2b-a1e3-4519-84fa-d81188027b81,nell_xo,Sydney,Healthcare,male,0.0,4.0,0.0,3.0,11.0,high
4cca996c-dea3-42ff-aa43-0212eb63d16c,islax,Gold Coast,Healthcare,female,0.0,4.0,0.0,3.0,11.0,high
d3f621e6-367a-4f80-8697-80ba92f7badd,amber,Singapore,Media,female,0.0,3.0,0.0,4.0,10.0,high
7f39d49f-9c12-4e0e-a1b9-39bed12bbf31,gemmanotes,Wellington,Technology,non_binary,1.0,2.0,1.0,2.0,10.0,high
cdec4c8a-245c-45c0-b460-1088a8215823,freya,Brisbane,Technology,female,2.0,1.0,2.0,0.0,10.0,high
fa3fabd0-38ca-4d43-a274-3deee2633ae3,casshq,Adelaide,Publishing,female,0.0,3.0,0.0,3.0,9.0,high
7536b309-735c-4261-a2fd-521e379a5ca4,annieb,Perth,Marketing,female,0.0,3.0,0.0,2.0,8.0,high
64bf7b66-caf8-4812-90d6-79cc29ed42f0,elsie_club,Canberra,Education,non_binary,1.0,1.0,3.0,0.0,8.0,high
06264520-0673-4fc6-9c00-5b829fd744dc,mabel,Brisbane,Education,female,0.0,3.0,0.0,2.0,8.0,high
6d66c1c2-9ed8-4b9e-bc4b-720a027cfcc6,lottiea,Singapore,Consulting,male,0.0,2.0,0.0,3.0,7.0,high
ee6ea00c-f6d0-4db3-930a-3ceb13e0b9cb,heidi33,Manchester,Marketing,non_binary,1.0,1.0,1.0,1.0,7.0,high
