city,industry,gender,high_value_user_count
Gold Coast,Healthcare,female,3
Auckland,Healthcare,non_binary,2
Brisbane,Healthcare,female,2
Manchester,Student,female,1
Melbourne,Healthcare,prefer_not_to_say,1
Melbourne,Government,non_binary,1
Melbourne,Finance,non_binary,1
Melbourne,Education,female,1
Manchester,Technology,prefer_not_to_say,1
Adelaide,Advertising,female,1
Melbourne,Marketing,male,1
Manchester,Marketing,non_binary,1
Manchester,Marketing,female,1
Manchester,Consulting,female,1
London,Student,female,1
London,Nonprofit,male,1
Melbourne,Hospitality,prefer_not_to_say,1
Newcastle,Hospitality,female,1
Melbourne,Publishing,male,1
London,Marketing,male,1
Perth,Marketing,female,1
Singapore,Consulting,male,1
Singapore,Government,female,1
Singapore,Media,female,1
Sydney,Education,female,1
Sydney,Government,female,1
Sydney,Healthcare,male,1
Sydney,Retail,male,1
Wellington,Advertising,female,1
Wellington,Healthcare,prefer_not_to_say,1
Wellington,Marketing,female,1
Wellington,Student,female,1
London,Marketing,non_binary,1
London,Government,female,1
London,Legal,male,1
Bristol,Nonprofit,male,1
Adelaide,Healthcare,female,1
Adelaide,Media,male,1
Adelaide,Publishing,female,1
Adelaide,Technology,male,1
Auckland,Education,female,1
Auckland,Government,female,1
Brisbane,Education,female,1
Brisbane,Fashion,female,1
Brisbane,Hospitality,female,1
Brisbane,Technology,female,1
Bristol,Fashion,female,1
Bristol,Healthcare,female,1
Bristol,Technology,male,1
Adelaide,Advertising,non_binary,1
Canberra,Education,non_binary,1
Canberra,Healthcare,female,1
Canberra,Retail,female,1
Christchurch,Healthcare,non_binary,1
Christchurch,Hospitality,male,1
Christchurch,Media,non_binary,1
Christchurch,Publishing,female,1
Christchurch,Technology,female,1
Gold Coast,Student,prefer_not_to_say,1
Gold Coast,Technology,prefer_not_to_say,1
Hobart,Education,prefer_not_to_say,1
Hobart,Media,female,1
Wellington,Technology,non_binary,1
