dominant_topic,city,industry,gender,post_count,total_likes,total_comments,engagement_score
discourse,London,Legal,male,3,5,8,16
open,Gold Coast,Healthcare,female,2,5,9,16
dumb,London,Legal,male,2,6,7,15
angle,Manchester,Consulting,female,2,5,5,12
open,Wellington,Advertising,female,2,5,5,12
group,Christchurch,Technology,female,1,5,5,11
read,London,Government,female,1,5,5,11
discourse,Melbourne,Marketing,male,1,4,5,10
dumb,Gold Coast,Technology,prefer_not_to_say,1,4,5,10
best,Melbourne,Government,non_binary,2,2,6,10
dumb,Christchurch,Technology,female,1,5,3,9
best substack,Bristol,Technology,male,1,3,5,9
argument,London,Legal,male,1,4,4,9
group,Auckland,Healthcare,non_binary,1,4,4,9
best substack,London,Government,female,1,4,3,8
circling,Wellington,Advertising,female,1,2,5,8
angle,Manchester,Student,female,1,1,6,8
open,Auckland,Healthcare,non_binary,2,4,2,8
dumb,Wellington,Advertising,female,1,2,4,7
actually interesting,Christchurch,Technology,female,1,2,4,7
coming,Brisbane,Healthcare,female,1,3,3,7
coming,Bristol,Nonprofit,male,1,3,3,7
changed,Adelaide,Technology,male,1,3,3,7
argument,Brisbane,Healthcare,female,1,3,3,7
group,London,Legal,male,1,4,2,7
discourse,Gold Coast,Healthcare,female,1,3,2,6
coming,Gold Coast,Technology,prefer_not_to_say,1,2,3,6
discourse,Sydney,Education,female,1,2,3,6
like,Newcastle,Hospitality,female,1,3,2,6
best substack,Manchester,Consulting,female,1,0,5,6
smartest,Auckland,Government,female,1,5,0,6
group,Melbourne,Government,non_binary,1,1,3,5
open,Brisbane,Fashion,female,1,2,2,5
group,Wellington,Advertising,female,2,2,1,5
actually,Wellington,Advertising,female,1,2,2,5
episode,Bristol,Fashion,female,1,1,3,5
dumb,Manchester,Student,female,1,2,2,5
coming,Canberra,Education,non_binary,1,3,1,5
click,Gold Coast,Student,prefer_not_to_say,1,1,3,5
circling,Auckland,Healthcare,non_binary,1,1,3,5
argument,Wellington,Technology,non_binary,1,1,3,5
argument,Brisbane,Technology,female,1,2,2,5
angle,Auckland,Healthcare,non_binary,1,2,2,5
smartest,London,Legal,male,1,2,2,5
